,Date,Close,High,Low,Open,Volume,k,d,macd,macdsignal,macdhist,upperband,middleband,lowerband,rsi,adx,+di,-di,TAS,TBC,EveningStar,MorningStar,Engulfing
0,2024-10-01,225.96141052246094,229.3976172900359,223.49412373913023,229.2677705196639,63285000,,,,,,,,,,,,,0,0,0,0,0
1,2024-10-02,226.53077697753906,227.12012493395358,222.77491454853467,225.64175566026316,32880600,,,,,,,,,,,,,0,0,0,0,0
2,2024-10-03,225.42198181152344,226.56072831643584,223.0745736591087,224.8925655126969,34044200,,,,,,,,,,,,,0,0,0,0,0
3,2024-10-04,226.55075073242188,227.74942888869526,223.88368688105714,227.6495326914976,37245100,,,,,,,,,,,,,0,0,0,0,0
4,2024-10-07,221.4463653564453,225.44196936055414,221.08676038639473,224.25327473060864,39505400,,,,,,229.00981147364828,225.18225708007813,221.35470268650798,,,,,0,0,0,0,0
5,2024-10-08,225.52188110351562,225.73164177618557,223.0046463373399,224.05349542674807,31855700,,,,,,228.86607154256953,225.09435119628907,221.3226308500086,,,,,0,0,0,0,0
6,2024-10-09,229.28773498535156,229.49751090746852,224.58291968465133,224.9824739985636,33591100,,,,,,230.6882285379708,225.64574279785157,220.60325705773235,,,,,0,0,0,0,0
7,2024-10-10,228.7882843017578,229.24778548023318,226.9203442604764,227.5296744960524,28183500,,,,,,231.92916747765446,226.31900329589843,220.7088391141424,,,,,0,0,0,0,0
8,2024-10-11,227.2999267578125,229.15788323697032,227.09015084025384,229.04800351672907,31759200,87.64840042247182,76.3316593012514,,,,232.13549033098354,226.46883850097657,220.8021866709696,,,,,0,0,0,0,-100
9,2024-10-14,231.04580688476562,231.47532700331138,228.34877720356226,228.44865815944695,39882100,86.78955777407855,86.55045386646657,,,,232.1231318484921,228.38872680664062,224.65432176478913,,,,,0,0,0,0,0
10,2024-10-15,233.59300231933594,237.22900130875718,232.11461788171079,233.3532605949055,64751400,80.01635806898194,84.81810542184412,,,,234.31751300310842,230.0029510498047,225.68838909650097,,,,,0,0,0,0,0
11,2024-10-16,231.5252685546875,231.86489123072647,229.5873982094942,231.34547369396782,34082200,70.28260281947088,79.02950622084381,,,,234.83898018774278,230.45045776367186,226.06193533960095,,,,,0,0,0,0,0
12,2024-10-17,231.89486694335938,233.59301088010824,230.26666863657624,233.17345903647427,32993800,54.43587902301534,68.24494663715608,,,,235.21590145724164,231.0717742919922,226.92764712674276,,,,,0,0,0,0,0
13,2024-10-18,234.74172973632812,235.9204255737285,233.75281228137578,235.9204255737285,46431500,54.683503320218584,59.800661720901616,,,,235.33615942365836,232.5601348876953,229.78411035173227,,,,,0,0,0,0,0
