0,1,2,3,4,5,6,7
2025,29,0,29,0,0,0,29
2024,55.01,0,55.01,0,0,0,55.01
2023,62.01,14,76.01,0,0,0,76.01
2022,57,16,73,0,0,0,73
2021,21,16,37,0,0,0,37
2020,5,5.5,10.5,0,0,0,10.5
2019,6,3,9,0,0,0,9
2018,7.5,2.5,10,0,0,0,10
2017,8,1.5,9.5,0,0,0,9.5
2016,11,0,11,0,0,0,11
2015,22,0,22,0,0,0,22
2014,15,0,15,0,0,0,15
2013,0.5,8.5,9,0,0,0,9
2012,9,0,9,0,0,0,9
2011,20,0,20,0,0,0,20
2010,26,0,26,0.02,0,0.02,26.02
2009,14,0,14,0.02,0,0.02,14.02
2008,19,0,19,0.1,0,0.1,19.1
2007,15,0,15,0.5,0,0.5,15.5
2006,11,0,11,1,0,1,12
2005,10,0,10,1,0,1,11
2004,8.546,0,8.546,1.81,0,1.81,10.36
2003,8,0,8,3.5,0,3.5,11.5
2002,4,0,4,4,0,4,8
2001,1,0,1,4,0,4,5
2000,0,0,0,7.5,0,7.5,7.5
