0,1,2,3,4,5,6,7
2025,-,-,-,-,-,-,-
2024,0.5,0,0.5,0,0,0,0.5
2023,1.8,0,1.8,0,0,0,1.8
2022,1.8,0,1.8,0,0,0,1.8
2021,1.2,0,1.2,0,0,0,1.2
2020,1.189,0,1.189,0,0,0,1.189
2019,1.2,0,1.2,0,0,0,1.2
2018,1,0,1,0.2,0,0.2,1.2
2017,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0
2012,0.38,0,0.38,0.38,0,0.38,0.76
2011,1.696,0,1.696,0,0,0,1.696
2010,1.485,0,1.485,0,0,0,1.485
2009,0.694,0,0.694,0.397,0,0.397,1.091
2008,0.999,0,0.999,0.1,0,0.1,1.099
2007,0.176,0,0.176,0.176,0,0.176,0.352
2006,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0
2002,0,0,0,0,1,1,1
2001,0,0,0,2,1,3,3
2000,0,0,0,0.3,1,1.3,1.3
1999,0,0,0,0,1,1,1
1998,0,0,0,1.4,0.8,2.2,2.2
1997,0,0,0,1,2,3,3
1996,0,0,0,3.6,1.4,5,5
1995,0,0,0,2,0,2,2
1994,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0
