0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2025,-,-,1160,1055,1090,1096,+15,+1.4,-,-,-,-,-,-,-,-
2023,"2,593",89,594,443,593,543,+144.5,+32.2,32.34,18.4,13.7,16.8,133.38,4.45,3.32,4.07
2022,"2,593",89,688,370,448.5,516,-166.5,-27.1,39.2,17.6,9.44,13.2,113.6,6.06,3.26,4.54
2021,"2,593",87,679,518,615,598,+85,+16,23.01,29.5,22.5,26,83.62,8.12,6.19,7.15
2020,"2,593",89,530,235.5,530,379,+199,+60.1,19.97,26.5,11.8,19,71.33,7.43,3.3,5.31
2019,"2,593",89,345,206.5,331,262,+105.5,+46.8,13.32,25.9,15.5,19.6,62.53,5.52,3.3,4.19
2018,"2,593",94,268,210,225.5,237,-4,-1.7,13.54,19.8,15.5,17.5,64.67,4.14,3.25,3.67
2017,"2,593",91,245,179,229.5,210,+48,+26.4,13.23,18.5,13.5,15.9,58.7,4.17,3.05,3.58
2016,"2,593",91,193,130.5,181.5,166,+38.5,+26.9,12.89,15,10.1,12.9,53.58,3.6,2.44,3.1
2015,"2,593",94,155,112.5,143,140,+2,+1.4,11.82,13.1,9.52,11.8,47.11,3.29,2.39,2.97
2014,"2,593",91,142,100.5,141,123,+35.5,+33.6,10.18,13.9,9.87,12,40.32,3.52,2.49,3.04
2013,"2,593",89,116.5,92.9,105.5,104,+8.5,+8.8,7.26,16,12.8,14.3,32.69,3.56,2.84,3.18
2012,"2,592",89,99.4,73.8,97,84.1,+21.2,+28,6.42,15.5,11.5,13.1,27.9,3.56,2.65,3.01
2011,"2,592",94,78.3,62.2,75.8,72.1,+4.8,+6.8,5.18,15.1,12,13.9,24.29,3.22,2.56,2.97
2010,"2,591",96,75,57,71,62,+6.5,+10.1,6.24,12,9.13,9.94,22.16,3.38,2.57,2.8
2009,"2,590",91,65.2,38.7,64.5,55.5,+20.1,+45.3,3.45,18.9,11.2,16.1,19.11,3.41,2.03,2.9
2008,"2,563",94,69.8,36.4,44.4,56.4,-17.6,-28.4,3.86,18.1,9.43,14.6,18.59,3.75,1.96,3.04
2007,"2,643",94,73.1,57.4,62,65.5,-5.5,-8.1,4.14,17.7,13.9,15.8,19.03,3.84,3.02,3.44
2006,"2,583",96,70,52.3,67.5,61.3,+5,+8,4.93,14.2,10.6,12.4,19.69,3.56,2.66,3.12
2005,"2,473",94,64.3,46.2,62.5,54.1,+12,+23.8,3.79,17,12.2,14.3,18.04,3.56,2.56,3
2004,"2,325",89,68.5,40.7,50.5,52.4,-13,-20.5,3.97,17.3,10.3,13.2,17.19,3.98,2.37,3.05
2003,"2,027",79,72.5,40.1,63.5,56.4,+20.9,+49.1,2.33,31.1,17.2,24.2,16.24,4.46,2.47,3.47
2002,"1,862",68,97.5,34.9,42.6,67.4,-44.9,-51.3,1.14,85.5,30.6,59.1,14.85,6.57,2.35,4.54
2001,"1,683",62,105.5,43.6,87.5,77.7,+9,+11.5,0.83,127,52.5,93.7,15.29,6.9,2.85,5.08
2000,"1,169",91,222,74.5,78.5,146,-88.5,-53,5.71,38.9,13,25.6,20.15,11,3.7,7.26
1999,852,74,171,68,167,120,+96,+135,3.24,52.8,21,37,15.74,10.9,4.32,7.62
1998,605,72,173,56.5,71,101,-41,-36.6,2.54,68.1,22.2,39.7,13.9,12.4,4.06,7.25
1997,408,83,173,55.5,112,109,+55.5,+98.2,4.4,39.3,12.6,24.9,17,10.2,3.26,6.44
1996,265,94,106,49.1,56.5,63.8,-28.5,-33.5,7.31,14.5,6.72,8.73,19.63,5.4,2.5,3.25
1995,144,91,196,77,85,128,-72,-45.9,10.48,18.7,7.35,12.3,23.34,8.4,3.3,5.5
1994,78,-,177,96,157,159,+61,+63.5,10.86,16.3,8.84,14.6,24.14,7.33,3.98,6.59
1993,-,-,-,-,-,-,-,-,-,-,-,-,18.25,-,-,-
1992,-,-,-,-,-,-,-,-,-,-,-,-,12.82,-,-,-
1991,-,-,-,-,-,-,-,-,-,-,-,-,11.54,-,-,-
