0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2025,-,-,20.75,17.6,18.25,19.1,-1.55,-7.8,-,-,-,-,-,-,-,-
2023,186,43,37.45,26.6,31.35,32.4,-2.4,-7.1,-0.92,-,-,-,26.07,1.44,1.02,1.24
2022,186,72,45.15,28.2,33.75,36.1,-8.45,-20,4.85,9.31,5.81,7.44,28.38,1.59,0.99,1.27
2021,186,77,50,34,42.2,41.6,-0.1,-0.2,6.48,7.72,5.25,6.42,25.2,1.98,1.35,1.65
2020,186,60,46.9,22.05,42.3,33.5,+5.1,+13.7,2.9,16.2,7.6,11.5,19.52,2.4,1.13,1.71
2019,184,47,39.1,16.85,37.2,26.4,+18.85,+103,1.64,23.8,10.3,16.1,17.68,2.21,0.95,1.5
2018,184,68,55.5,15.15,18.35,36.1,-25.85,-58.5,4.94,11.2,3.07,7.3,17.06,3.25,0.89,2.11
2017,180,60,60.9,4.56,44.2,25.9,+39.57,+855,3.12,19.5,1.46,8.3,13.68,4.45,0.33,1.89
2016,362,38,4.84,2.11,4.63,3.89,-0.15,-3.1,-0.07,-,-,-,5.07,0.95,0.42,0.77
2015,362,34,7.88,3.83,4.78,5.77,-2.15,-31,-1.19,-,-,-,5.1,1.55,0.75,1.13
2014,356,36,8.74,6.1,6.93,7.01,+0.22,+3.3,-1.84,-,-,-,6.4,1.37,0.95,1.1
2013,352,36,9.35,6.25,6.71,7.54,-1.96,-22.6,-1.79,-,-,-,8.15,1.15,0.77,0.92
2012,352,36,13.7,7.03,8.67,9.54,-3.43,-28.3,-1.55,-,-,-,10.02,1.37,0.7,0.95
2011,338,60,23.75,10.25,12.1,16,-8.3,-40.7,0.86,27.6,11.9,18.6,12.41,1.91,0.83,1.29
2010,336,79,23.1,16,20.4,19.6,+2.1,+11.5,2.33,9.91,6.87,8.41,13.44,1.72,1.19,1.46
2009,330,81,19.65,8.32,18.3,14.8,+9.65,+112,1.74,11.3,4.78,8.49,12.55,1.57,0.66,1.18
2008,313,72,17.45,7,8.65,12.4,-6.3,-42.1,1.45,12,4.83,8.56,11.84,1.47,0.59,1.05
2007,306,74,24.95,11.9,14.95,16.2,+0.85,+6,1.55,16.1,7.68,10.4,11.8,2.11,1.01,1.37
2006,292,57,15.05,3.59,14.1,8.58,+8.84,+168,0.7,21.5,5.13,12.3,10.71,1.41,0.34,0.8
2005,500,34,7.3,2.98,5.26,4.83,-1.94,-26.9,-2.41,-,-,-,5.72,1.28,0.52,0.84
2004,504,-,16.8,6.5,7.2,9.7,-0.5,-6.5,0.05,336,130,194,6.88,2.44,0.94,1.41
2003,440,-,13.15,3.88,7.7,8.68,-3.1,-28.7,-2.13,-,-,-,6.64,1.98,0.58,1.31
2002,369,-,32.9,9.15,10.8,19.3,-16.1,-59.9,-3.1,-,-,-,8.18,4.02,1.12,2.36
2001,336,-,58.5,16,26.9,35.6,-13.6,-33.6,-0.26,-,-,-,12.84,4.56,1.25,2.77
2000,247,-,105,34.6,40.5,69.2,-20.5,-33.6,4.37,24,7.92,15.8,18.01,5.83,1.92,3.84
1999,196,-,61.5,22,61,33.2,+34.8,+133,0.46,134,47.8,72.2,13.43,4.58,1.64,2.47
1998,179,40,63,20.7,26.2,37.3,-19.6,-42.8,-0.87,-,-,-,14.02,4.49,1.48,2.66
1997,144,62,88,35.79,45.8,55.7,+9.3,+25.5,1.48,59.5,24.2,37.6,18.46,4.77,1.94,3.02
1996,94.2,79,55,28.5,36.5,41.9,-15,-29.1,3.9,14.1,7.31,10.7,20.2,2.72,1.41,2.08
1995,50,-,78,30.4,51.5,53.8,+21.1,+69.4,7.31,10.7,4.16,7.36,22.29,3.5,1.36,2.41
1994,30,-,-,-,-,-,-,-,3.28,-,-,-,15.4,-,-,-
1993,-,-,-,-,-,-,-,-,-,-,-,-,9.33,-,-,-
1992,-,-,-,-,-,-,-,-,-,-,-,-,7.17,-,-,-
